,flo_in,sed_in
2002-07-29,8.79,.283E+04
2002-07-30,8.81,.283E+04
2002-07-31,8.69,.272E+04
2002-08-01,35.5,.173E+05
2002-08-02,8.85,.283E+04
2002-08-03,8.99,.289E+04
2002-08-04,8.86,.284E+04
2002-08-05,8.80,.278E+04
2002-08-06,8.79,.272E+04
2002-08-07,8.79,.272E+04
2002-08-08,8.75,.273E+04
2002-08-09,8.77,.272E+04
2002-08-10,8.77,.272E+04
2002-08-11,8.66,.267E+04
2002-08-12,8.66,.260E+04
2002-08-13,8.28,.237E+04
2002-08-14,7.98,.212E+04
2002-08-15,3.68,9.29
2002-08-16,3.75,10.7
2002-08-17,1.79,8.54
2002-08-18,5.12,770.
2002-08-19,45.9,.230E+05
2002-08-20,.973E-01,.645E-04
2002-08-21,.118,.236E-04
2002-08-22,.153,.971E-05
2002-08-23,35.9,.182E+05
2002-08-24,6.18,.149E+04
2002-08-25,.328,.406E-03
2002-08-26,.478,.522E-01
2002-08-27,.500,.522E-01
2002-08-28,.592,.485
2002-08-29,.551,.310
2002-08-30,.582,.628
2002-08-31,.691,.976
2002-09-01,.748,1.11
2002-09-02,.804,1.46
2002-09-03,.854,1.95
2002-09-04,.910,2.49
2002-09-05,1.10,4.13
2002-09-06,194.,.822E+05
2002-09-07,14.4,.617E+04
2002-09-08,3.78,264.
2002-09-09,7.49,.215E+04
2002-09-10,1.34,6.19
2002-09-11,1.23,4.74
2002-09-12,1.23,4.74
2002-09-13,25.5,.126E+05
2002-09-14,1.65,8.96
2002-09-15,2.86,69.1
2002-09-16,49.5,.254E+05
2002-09-17,2.85,68.0
2002-09-18,1.37,4.61
2002-09-19,1.22,2.83
2002-09-20,1.16,2.33
2002-09-21,1.15,2.33
2002-09-22,4.49,535.
2002-09-23,2.52,27.4
2002-09-24,.940,.522
2002-09-25,.824,.193
2002-09-26,.821,.193
2002-09-27,.837,.380
2002-09-28,301.,.120E+06
2002-09-29,15.8,.673E+04
2002-09-30,18.1,.830E+04
2002-10-01,253.,.107E+06
2002-10-02,10.3,.346E+04
2002-10-03,2.33,14.5
2002-10-04,1.13,1.62
2002-10-05,1.18,2.33
2002-10-06,1.20,2.32
2002-10-07,8.06,.244E+04
2002-10-08,1.61,7.46
2002-10-09,22.6,.110E+05
2002-10-10,1.50,6.20
2002-10-11,1.61,7.24
2002-10-12,1.68,8.58
2002-10-13,1.77,9.74
2002-10-14,1.81,9.68
2002-10-15,1.88,11.4
2002-10-16,13.2,.543E+04
2002-10-17,2.12,13.9
2002-10-18,2.26,15.8
2002-10-19,2.50,19.4
2002-10-20,2.46,18.7
2002-10-21,124.,.541E+05
2002-10-22,5.28,712.
2002-10-23,3.12,56.6
2002-10-24,9.03,.297E+04
2002-10-25,2.98,38.1
2002-10-26,37.6,.187E+05
2002-10-27,3.19,57.6
2002-10-28,3.27,72.2
2002-10-29,3.39,110.
2002-10-30,3.47,104.
2002-10-31,3.58,143.
2002-11-01,41.7,.209E+05
2002-11-02,3.83,181.
2002-11-03,3.90,228.
2002-11-04,4.00,233.
2002-11-05,4.11,294.
2002-11-06,4.21,336.
2002-11-07,4.29,345.
2002-11-08,4.36,370.
2002-11-09,4.47,424.
2002-11-10,4.56,484.
2002-11-11,4.63,504.
2002-11-12,4.71,515.
2002-11-13,4.80,585.
2002-11-14,4.90,607.
2002-11-15,5.00,663.
2002-11-16,5.12,677.
2002-11-17,5.17,738.
2002-11-18,5.20,769.
2002-11-19,5.29,826.
2002-11-20,5.38,848.
2002-11-21,5.42,848.
2002-11-22,5.53,884.
2002-11-23,5.56,908.
2002-11-24,5.63,953.
2002-11-25,68.5,.333E+05
2002-11-26,12.0,.462E+04
2002-11-27,5.80,.103E+04
2002-11-28,5.84,.106E+04
2002-11-29,5.88,.105E+04
2002-11-30,5.89,.108E+04
2002-12-01,14.8,.635E+04
2002-12-02,6.01,.109E+04
2002-12-03,6.01,.111E+04
2002-12-04,92.4,.428E+05
2002-12-05,6.40,.128E+04
2002-12-06,6.25,.126E+04
2002-12-07,47.7,.234E+05
2002-12-08,6.62,.146E+04
2002-12-09,10.6,.370E+04
2002-12-10,31.1,.154E+05
2002-12-11,27.4,.133E+05
2002-12-12,6.60,.148E+04
2002-12-13,6.66,.148E+04
2002-12-14,6.72,.148E+04
2002-12-15,6.78,.150E+04
2002-12-16,6.81,.153E+04
2002-12-17,34.6,.169E+05
2002-12-18,6.98,.163E+04
2002-12-19,7.05,.168E+04
2002-12-20,7.12,.174E+04
2002-12-21,65.9,.321E+05
2002-12-22,7.33,.179E+04
2002-12-23,7.39,.178E+04
2002-12-24,7.48,.197E+04
2002-12-25,7.52,.200E+04
2002-12-26,7.61,.200E+04
2002-12-27,7.68,.201E+04
2002-12-28,7.73,.204E+04
2002-12-29,7.79,.211E+04
2002-12-30,7.87,.211E+04
2002-12-31,7.95,.223E+04
2003-01-01,8.03,.223E+04
2003-01-02,8.10,.230E+04
2003-01-03,27.9,.133E+05
2003-01-04,65.2,.319E+05
2003-01-05,8.37,.234E+04
2003-01-06,8.43,.247E+04
2003-01-07,8.49,.253E+04
2003-01-08,8.55,.256E+04
2003-01-09,8.62,.257E+04
2003-01-10,8.63,.258E+04
2003-01-11,8.72,.259E+04
2003-01-12,8.76,.259E+04
2003-01-13,8.82,.266E+04
2003-01-14,8.88,.275E+04
2003-01-15,8.98,.281E+04
2003-01-16,9.03,.282E+04
2003-01-17,9.03,.282E+04
2003-01-18,9.13,.282E+04
2003-01-19,33.7,.163E+05
2003-01-20,10.8,.385E+04
2003-01-21,24.1,.113E+05
2003-01-22,9.35,.294E+04
2003-01-23,57.7,.285E+05
2003-01-24,9.47,.307E+04
2003-01-25,9.51,.308E+04
2003-01-26,9.56,.308E+04
2003-01-27,116.,.513E+05
2003-01-28,10.7,.369E+04
2003-01-29,9.86,.320E+04
2003-01-30,9.86,.322E+04
2003-01-31,9.88,.322E+04
2003-02-01,9.95,.327E+04
2003-02-02,10.0,.342E+04
2003-02-03,10.1,.344E+04
2003-02-04,13.7,.553E+04
2003-02-05,10.2,.346E+04
2003-02-06,10.2,.346E+04
2003-02-07,10.2,.346E+04
2003-02-08,10.5,.369E+04
2003-02-09,12.7,.492E+04
2003-02-10,10.5,.370E+04
2003-02-11,12.1,.452E+04
2003-02-12,10.6,.372E+04
2003-02-13,58.3,.290E+05
2003-02-14,13.6,.548E+04
2003-02-15,10.6,.372E+04
2003-02-16,66.0,.320E+05
2003-02-17,10.7,.373E+04
2003-02-18,14.4,.592E+04
2003-02-19,10.9,.386E+04
2003-02-20,11.2,.399E+04
2003-02-21,10.9,.386E+04
2003-02-22,11.2,.402E+04
2003-02-23,11.0,.391E+04
2003-02-24,56.0,.276E+05
2003-02-25,11.2,.399E+04
2003-02-26,11.2,.409E+04
2003-02-27,11.2,.410E+04
2003-02-28,11.3,.412E+04
2003-03-01,45.8,.222E+05
2003-03-02,56.5,.277E+05
2003-03-03,71.0,.341E+05
2003-03-04,11.8,.430E+04
2003-03-05,11.7,.430E+04
